Company,Location_HQ,Industry,Laid_Off_Count,Percentage,Date,Source,Funds_Raised (Millions),Stage,Date_Added,Country,List_of_Employees_Laid_Off,Sum of Employees,Average # of Employees Laid Off,Average Layoff %,Total Funds Raised,Average Funds Raised,,
Koho,Toronto,Finance,15,4%,11/17/2022,https://betakit.com/canadian-tech-layoffs-continue-as-tough-year-comes-to-a-close/,278.00,Series D,11/20/2022 0:17,Canada,Unknown,,,,,,,
&Open,Dublin,Marketing,9,9%,11/17/2022,https://www.irishtimes.com/technology/2022/11/17/gifting-platform-open-to-cut-nine-roles-from-global-workforce/,35.00,Series A,12/1/2022 6:17,Ireland,Unknown,,,,,,,
Amazon,Seattle,Retail,10000,3%,11/16/2022,https://www.nytimes.com/2022/11/14/technology/amazon-layoffs.html,108.00,IPO,11/16/2022 17:40,United States,https://docs.google.com/spreadsheets/d/1f0QvaM9dwPYkcE8F_iyuH_Yd1k3PhaE76YSOUlftxpw/edit#gid=0,,,,,,,
Cisco,SF Bay Area,Infrastructure,4100,5%,11/16/2022,https://www.bizjournals.com/sanjose/news/2022/11/16/cisco-announces-600m-restructuring-layoffs.html,2.00,IPO,11/17/2022 17:15,United States,Unknown,,,,,,,
Twiga,Nairobi,Food,211,21%,11/16/2022,https://techcrunch.com/2022/11/16/kenyas-twiga-dismisses-in-house-sales-team-affecting-21-of-it-employees/,157.00,Series C,11/30/2022 6:02,Kenya,Unknown,,,,,,,
Wayflyer,Dublin,Marketing,200,40%,11/16/2022,https://sifted.eu/articles/wayflyer-layoffs-global-2022/,889.00,Unknown,11/17/2022 0:29,Ireland,Unknown,,,,,,,
SimilarWeb,New York City,Other,120,10%,11/16/2022,https://en.globes.co.il/en/article-similarweb-cuts-10-of-workforce-1001430060,235.00,IPO,11/17/2022 4:16,United States,Unknown,,,,,,,
Salsify,Boston,Retail,90,11%,11/16/2022,https://www.bizjournals.com/boston/inno/stories/news/2022/11/16/salsify-layoffs-2022.html,452.00,Series F,11/17/2022 0:32,United States,Unknown,,,,,,,
Lokalise,Dover,Other,76,23%,11/16/2022,https://lokalise.com/blog/changes-at-lokalise/,56.00,Series B,11/17/2022 4:19,United States,Unknown,,,,,,,
Yotpo,New York City,Marketing,70,9%,11/16/2022,https://www.calcalistech.com/ctechnews/article/hy00chefus,436.00,Unknown,11/17/2022 17:19,United States,Unknown,,,,,,,
Pear Therapeutics,Boston,Healthcare,59,22%,11/16/2022,https://www.fiercebiotech.com/medtech/pear-therapeutics-trims-workforce-another-22,409.00,IPO,12/11/2022 6:17,United States,Unknown,,,,,,,
UiPath,New York City,Data,241,6%,11/15/2022,https://www.marketwatch.com/story/uipath-stock-rockets-after-company-announces-further-layoffs-suggests-revenue-could-beat-2022-11-15,2000.00,IPO,11/17/2022 0:00,United States,Unknown,,,,,,,
Asana,SF Bay Area,Other,180,9%,11/15/2022,https://www.linkedin.com/posts/anneraimondi_earlier-today-we-shared-the-incredibly-difficult-activity-6998297745270718465-a_MV/,453.00,IPO,11/15/2022 16:36,United States,Unknown,,,,,,,
OwnBackup,New York City,Security,170,17%,11/15/2022,https://www.calcalistech.com/ctechnews/article/h12tcmbuj,507.00,Series E,11/17/2022 0:15,United States,Unknown,,,,,,,
Deliveroo Australia,Melbourne,Food,120,100%,11/15/2022,https://www.abc.net.au/news/2022-11-16/deliveroo-enters-voluntary-administration/101661932,1700.00,IPO,11/17/2022 17:09,Australia,Unknown,,,,,,,
Productboard,SF Bay Area,Product,100,20%,11/15/2022,https://cc.cz/cesky-startup-productboard-propousti-100-lidi-je-to-nejtezsi-rozhodnuti-kariery-rika-hubert-palan/,,Series D,11/17/2022 0:25,United States,Unknown,,,,,,,
Protocol,SF Bay Area,Media,60,100%,11/15/2022,https://www.cnn.com/2022/11/15/media/protocol/index.html,,Acquired,11/15/2022 18:19,United States,Unknown,,,,,,,
Jimdo,Hamburg,Other,50,16%,11/15/2022,https://www.businessinsider.de/gruenderszene/business/entlassungswelle-jimdo-november/,28.00,Unknown,11/17/2022 0:05,Germany,Unknown,,,,,,,
Viber,Luxembourg,Consumer,45,8%,11/15/2022,https://www.calcalistech.com/ctechnews/article/hyy6fhwlo,,Acquired,11/17/2022 0:16,Luxembourg,Unknown,,,,,,,
CaptivateIQ,SF Bay Area,Sales,31,10%,11/15/2022,Internal memo,164.00,Series C,11/17/2022 0:40,United States,Unknown,,,,,,,
Illumina,San Diego,Healthcare,500,5%,11/14/2022,https://www.genomeweb.com/business-news/illumina-lays-approximately-500-employees-response-economic-climate#.Y4FAPOzMJjM,28.00,IPO,11/17/2022 0:51,United States,Unknown,,,,,,,
iFit,Logan,Fitness,300,20%,11/14/2022,https://www.sltrib.com/news/2022/11/14/hundreds-utah-jobs-cut-logans/,200.00,Private Equity,11/17/2022 0:04,United States,Unknown,,,,,,,
Ribbon,New York City,Real Estate,170,85%,11/14/2022,https://www.businessinsider.com/ribbon-more-layoffs-proptech-startup-economic-uncertainty-2022-11,405.00,Series C,11/22/2022 4:26,United States,Unknown,,,,,,,
Pipedrive,Tallin,Sales,143,15%,11/14/2022,https://digipro.geenius.ee/rubriik/uudis/tehnoloogiasektori-koondamislaine-joudis-ka-eestisse-pipedrive-laseb-lahti-143-tootajat/,90.00,Private Equity,11/15/2022 4:26,Estonia,https://docs.google.com/spreadsheets/d/1v6E7i9v-Qq6dWNAaIc7GNgVpvI1EJb4xUEz1EJAeh84/edit#gid=1697051533,,,,,,,
Intercom,SF Bay Area,Support,124,13%,11/14/2022,https://www.siliconrepublic.com/business/intercom-job-cuts-ireland-global,240.00,Series D,11/14/2022 19:32,United States,Unknown,,,,,,,
Pear Therapeutics,Boston,Healthcare,59,22%,11/14/2022,https://peartherapeutics.com/pear-therapeutics-reports-third-quarter-2022-results/,409.00,IPO,11/17/2022 4:34,United States,Unknown,,,,,,,
Cloudinary,SF Bay Area,Media,40,8%,11/14/2022,"https://www.calcalistech.com/ctechnews/article/h1sioa1li#:~:text=Israeli%20unicorn%20Cloudinary%2C%20which%20has,total%20of%20around%2040%20employees.",100.00,Unknown,11/17/2022 4:25,United States,Unknown,,,,,,,
Veev,SF Bay Area,Real Estate,100,30%,11/11/2022,https://www.calcalistech.com/ctechnews/article/hjkataiss,597.00,Series D,11/12/2022 2:57,United States,Unknown,,,,,,,
Forto,Berlin,Logistics,60,8%,11/11/2022,https://www.deutsche-startups.de/2022/11/11/forto-delivery-hero-stuffle-burnout-hr-startups/,593.00,Series D,1/4/2023 15:56,United States,Unknown,,,,,,,
GoTo Group,Jakarta,Transportation,1300,12%,11/10/2022,https://www.reuters.com/technology/indonesias-goto-cuts-1300-workers-or-12-total-employees-2022-11-18/,1300.00,IPO,11/11/2022 5:06,Indonesia,https://coda.io/@daanyal-kamaal/goto-alumni-list,,,,,,,
Juul,SF Bay Area,Consumer,400,30%,11/10/2022,https://www.cnbc.com/2022/11/10/juul-strikes-financing-deal-plans-to-cut-jobs-to-dodge-bankruptcy.html,1500.00,Unknown,11/10/2022 22:01,United States,Unknown,,,,,,,
Blend,SF Bay Area,Finance,100,6%,11/10/2022,https://www.housingwire.com/articles/blend-reports-133-98-million-loss-in-q3-layoffs-of-100-positions/,665.00,IPO,12/9/2022 5:11,United States,Unknown,,,,,,,
InfluxData,SF Bay Area,Data,65,27%,11/10/2022,Internal memo,119.00,Series D,11/12/2022 4:19,United States,Unknown,,,,,,,
SoundHound,SF Bay Area,Other,45,10%,11/10/2022,https://techcrunch.com/2022/11/10/soundhound-layoffs/,326.00,IPO,11/10/2022 16:28,United States,Unknown,,,,,,,
Ocavu,Lehi,Crypto,20,48%,11/10/2022,https://www.sltrib.com/news/2022/11/10/company-partnering-with-byu-nft/,11.00,Series A,11/12/2022 4:10,United States,Unknown,,,,,,,
Meta,SF Bay Area,Consumer,11000,13%,11/9/2022,https://www.cnbc.com/2022/11/09/meta-to-lay-off-more-than-11000-thousand-employees.html,26000.00,IPO,11/9/2022 15:04,United States,https://docs.google.com/spreadsheets/d/1edAZoFG25lJpfSpTuJzD9hGijSzRfZ8v84H_Zak4gug/edit,,,,,,,
Redfin,Seattle,Real Estate,862,13%,11/9/2022,https://www.businessinsider.com/redfin-layoffs-home-flipping-business-redfinnow-shut-down-2022-11,320.00,IPO,11/9/2022 15:29,United States,Unknown,,,,,,,
Flyhomes,Seattle,Real Estate,300,40%,11/9/2022,https://www.geekwire.com/2022/flyhomes-does-another-round-of-layoffs-as-housing-market-hurts-real-estate-tech-companies/,310.00,Series C,11/10/2022 0:52,United States,Unknown,,,,,,,
AvantStay,Los Angeles,Travel,144,22%,11/9/2022,https://shorttermrentalz.com/news/avantstay-workforce-redundancies-round/,686.00,Private Equity,11/11/2022 0:09,United States,Unknown,,,,,,,
Root Insurance,Columbus,Finance,137,20%,11/9/2022,https://www.dispatch.com/story/business/employment/2022/11/09/columbus-company-root-to-cut-20-of-its-workforce/69635184007/,527.00,IPO,11/10/2022 0:53,United States,Unknown,,,,,,,
Liftoff,SF Bay Area,Marketing,130,15%,11/9/2022,Internal memo,6.00,Acquired,11/17/2022 0:34,United States,Unknown,,,,,,,
Plum,Bengaluru,Healthcare,36,10%,11/9/2022,https://www.moneycontrol.com/news/business/announcements/tiger-global-backed-plum-insurance-lays-off-36-employees-9478371.html,20.00,Series A,11/11/2022 0:04,India,Unknown,,,,,,,
Kabam,SF Bay Area,Consumer,35,7%,11/9/2022,https://techcrunch.com/2022/11/09/kabam-layoffs/,244.00,Acquired,11/9/2022 21:14,United States,Unknown,,,,,,,
Namogoo,Tel Aviv,Marketing,25,15%,11/9/2022,https://www.calcalistech.com/ctechnews/article/hjjawkyri,69.00,Series C,1/24/2023 5:25,United States,Unknown,,,,,,,
Repertoire Immune Medicines,Boston,Healthcare,65,50%,11/8/2022,https://www.bizjournals.com/boston/news/2022/11/07/repertoire-immune-medicines-layoffs-2022-biotech.html,257.00,Series B,11/9/2022 0:42,United States,Unknown,,,,,,,
Salesforce,SF Bay Area,Sales,1000,1%,11/7/2022,https://www.cnbc.com/2022/11/08/salesforce-cut-hundreds-of-employees-on-monday.html,65.00,IPO,11/9/2022 3:37,United States,Unknown,,,,,,,
Unacademy,Bengaluru,Education,350,10%,11/7/2022,https://economictimes.indiatimes.com/tech/startups/unacademy-cuts-another-350-jobs-in-second-round-of-layoffs/articleshow/95361443.cms,838.00,Series H,11/7/2022 15:09,India,Unknown,,,,,,,
Zendesk,SF Bay Area,Support,350,5%,11/7/2022,https://twitter.com/GergelyOrosz/status/1589676662593302528,85.00,Acquired,11/7/2022 20:13,United States,Unknown,,,,,,,
Dock,Sao Paulo,Finance,190,12%,11/7/2022,https://www.infomoney.com.br/negocios/exclusivo-startup-dock-nao-passa-ilesa-e-faz-demissao-em-massa/,280.00,Private Equity,11/8/2022 21:59,Brazil,Unknown,,,,,,,
Varonis,New York City,Security,110,5%,11/6/2022,https://www.calcalistech.com/ctechnews/article/hjfkkmrbo,30.00,IPO,11/6/2022 18:20,United States,Unknown,,,,,,,
Twitter,SF Bay Area,Consumer,3700,50%,11/4/2022,https://www.nytimes.com/2022/11/04/technology/elon-musk-twitter-layoffs.html,12900.00,IPO,11/4/2022 14:48,United States,https://docs.google.com/spreadsheets/d/1OoD3pVxFl718fnxs_cEaOIbcj-45-qNKZFnE1jQW86M/edit#gid=0,,,,,,,
Planetly,Berlin,Other,200,100%,11/4/2022,https://www.axios.com/pro/climate-deals/2022/11/04/planetly-shuts-down-layoffs-carbon-accounting,5.00,Acquired,11/5/2022 4:16,Germany,Unknown,,,,,,,
KoinWorks,Jakarta,Finance,70,8%,11/4/2022,https://www.techinasia.com/koinworks-layoff-2022,180.00,Unknown,11/27/2022 23:31,Indonesia,Unknown,,,,,,,
Exodus,Nebraska City,Crypto,59,22%,11/4/2022,https://www.exodus.com/news/exodus-restructure/,60.00,Unknown,11/12/2022 3:13,United States,Unknown,,,,,,,
Stripe,SF Bay Area,Finance,1000,14%,11/3/2022,https://www.bloomberg.com/news/articles/2022-11-03/stripe-cutting-headcount-by-14-as-it-readies-for-leaner-times,2300.00,Series H,11/3/2022 14:49,United States,https://docs.google.com/spreadsheets/u/1/d/1aJHTUlDqOomDd8dU45fg0ekQlPCm97dVWasvpj5bWmg/htmlview,,,,,,,
Lyft,SF Bay Area,Transportation,700,13%,11/3/2022,https://www.wsj.com/articles/lyft-plans-to-lay-off-hundreds-of-staffers-11667490092,4900.00,IPO,11/3/2022 15:55,United States,https://docs.google.com/spreadsheets/d/1TAEhC3gGu_ooKIDSTiX9OYUIjAHf7doS-lYyzTR_miY/edit,,,,,,,
Pleo,Copenhagen,Finance,150,15%,11/3/2022,https://www.finextra.com/newsarticle/41262/danish-fintech-pleo-cuts-workforce-by-15,428.00,Series C,11/3/2022 18:50,United States,Unknown,,,,,,,
Shippo,SF Bay Area,Logistics,60,20%,11/3/2022,https://www.linkedin.com/posts/laurabehrenswu_today-we-made-the-difficult-decision-to-exit-activity-6994028038543851520-M9iZ/,154.00,Series E,11/4/2022 0:29,United States,Unknown,,,,,,,
Opendoor,SF Bay Area,Real Estate,550,18%,11/2/2022,https://www.bloomberg.com/news/articles/2022-11-02/opendoor-lays-off-18-of-workers-in-wave-of-housing-cutbacks,1900.00,IPO,11/2/2022 17:07,United States,https://coda.io/@opendoorosn/opendoor-os-national-talent-board,,,,,,,
Chime,SF Bay Area,Finance,156,12%,11/2/2022,https://www.theinformation.com/articles/chime-slashes-12-of-staff-marking-latest-casualty-in-fintech-meltdown,2300.00,Series G,11/2/2022 17:29,United States,Unknown,,,,,,,
Chargebee,SF Bay Area,Finance,142,10%,11/2/2022,https://techcrunch.com/2022/11/02/tiger-global-chargebee-layoffs/,468.00,Series H,11/3/2022 4:24,United States,Unknown,,,,,,,
Dapper Labs,Vancouver,Crypto,134,22%,11/2/2022,https://betakit.com/dapper-labs-lays-off-22-percent-of-staff/,607.00,Series D,11/3/2022 4:18,United States,Unknown,,,,,,,
Checkmarx,Tel Aviv,Security,100,10%,11/2/2022,https://www.calcalistech.com/ctechnews/article/hjailhyri,92.00,Series C,11/2/2022 17:11,Israel,Unknown,,,,,,,
Smava,Berlin,Finance,100,15%,11/2/2022,https://www.businessinsider.de/gruenderszene/fintech/smava-entlassungen-oktober/,188.00,Unknown,11/3/2022 4:29,Germany,Unknown,,,,,,,
Iron Ox,SF Bay Area,Food,50,50%,11/2/2022,https://techcrunch.com/2022/11/03/iron-ox-lays-off-50-amounting-to-nearly-half-its-staff/,103.00,Series C,11/3/2022 4:27,United States,Unknown,,,,,,,
Digital Currency Gruop,Stamford,Crypto,10,13%,11/2/2022,https://www.coindesk.com/business/2022/11/02/digital-currency-group-promotes-mark-murphy-to-president-cuts-nearly-13-staff-report/,,Unknown,11/3/2022 5:00,United States,Unknown,,,,,,,
Upstart,SF Bay Area,Finance,140,7%,11/1/2022,https://techcrunch.com/2022/11/01/upstart-layoffs/,144.00,IPO,11/1/2022 19:40,United States,Unknown,,,,,,,
Gem,SF Bay Area,Recruiting,100,33%,11/1/2022,https://www.theinformation.com/briefings/recruiting-startup-gem-cuts-a-third-of-workforce,148.00,Series C,11/1/2022 19:35,United States,https://docs.google.com/spreadsheets/d/1bSFzwARd-KjyX677pudvqPijebPZGzPTQKuv_wNOxTg/edit,,,,,,,
Oda,Oslo,Food,70,18%,11/1/2022,https://www.dn.no/handel/oda/oda-kutter-70-arsverk-ma-ha-ny-milliardinnsproytning/2-1-1344693?zephr_sso_ott=mwDa9x,377.00,Unknown,11/1/2022 19:44,Sweden,Unknown,,,,,,,
Oda,Oslo,Food,70,18%,11/1/2022,https://shifter.no/nyheter/oda-sparker-70-og-henter-15-milliarder-kroner/262587,477.00,Unknown,11/11/2022 0:08,Norway,Unknown,,,,,,,
Oda,Oslo,Food,70,6%,11/1/2022,https://norway.postsen.com/local/62256/Oda-lays-off-employees-to-collect-billions-of-dollars-%E2%80%93-E24.html,479.00,Unknown,11/30/2022 6:08,Norway,Unknown,,,,,,,
Hootsuite,Vancouver,Marketing,50,5%,11/1/2022,Internal memo,300.00,Series C,11/1/2022 19:42,Canada,Unknown,,,,,,,
Kry,Stockholm,Healthcare,300,10%,10/31/2022,https://www.dn.se/ekonomi/kry-sager-upp-runt-300-anstallda/,568.00,Series D,11/1/2022 19:38,Sweden,Unknown,,,,,,,
EquityZen,New York City,Finance,30,27%,10/31/2022,https://www.axios.com/2022/10/31/scoop-layoffs-hit-startup-stock-marketplace-equityzen,11.00,Series B,11/1/2022 3:59,United States,Unknown,,,,,,,
Equitybee,SF Bay Area,Finance,25,20%,10/31/2022,https://www.calcalistech.com/ctechnews/article/hkrqontns,85.00,Series B,10/31/2022 15:30,United States,Unknown,,,,,,,
Fifth Season,Pittsburgh,Food,100,100%,10/28/2022,https://www.bizjournals.com/pittsburgh/news/2022/10/29/vertical-farming-startup-fifth-season-shuts-down.html,35.00,Series B,10/30/2022 16:10,United States,Unknown,,,,,,,
Advata,Seattle,Healthcare,32,21%,10/28/2022,https://www.geekwire.com/2022/seattle-area-health-data-analytics-company-advata-lays-off-employees/,,Unknown,10/31/2022 15:28,United States,Unknown,,,,,,,
RenoRun,Montreal,Construction,210,43%,10/27/2022,https://www.theglobeandmail.com/business/article-renorun-canadian-tech-layoffs/,163.00,Series B,10/28/2022 15:47,Canada,Unknown,,,,,,,
Recharge,Los Angeles,Finance,84,17%,10/27/2022,https://rechargepayments.com/blog/a-message-from-oisin/,277.00,Series B,10/28/2022 16:04,United States,https://docs.google.com/spreadsheets/d/1wEaAOfEJGbW8xwHhgxmRQEnb_GKE05KmI9ZgiaDSkiY/edit#gid=1480424750,,,,,,,
MindBody,San Luis Obispo,Fitness,400,15%,10/26/2022,https://www.sanluisobispo.com/news/business/article267890657.html,114.00,IPO,10/26/2022 23:22,United States,Unknown,,,,,,,
Zillow,Seattle,Real Estate,300,5%,10/26/2022,https://techcrunch.com/2022/10/26/zillow-layoff-300-employees/,97.00,IPO,10/26/2022 17:36,United States,Unknown,,,,,,,
Cybereason,Boston,Security,200,17%,10/26/2022,https://www.calcalistech.com/ctechnews/article/sjspj00uvs,750.00,Series F,10/26/2022 15:10,United States,Unknown,,,,,,,
GoFundMe,SF Bay Area,Finance,94,12%,10/26/2022,https://www.gofundme.com/c/announcement,,Series A,10/26/2022 23:13,United States,Unknown,,,,,,,
Fundbox,SF Bay Area,Finance,150,42%,10/25/2022,https://www.calcalistech.com/ctechnews/article/sypou4svi,553.00,Series D,10/25/2022 15:14,United States,Unknown,,,,,,,
Embroker,SF Bay Area,Finance,30,12%,10/25/2022,https://www.theinsurer.com/news/insurtech-embroker-lays-off-12-of-global-workforce/25922.article,142.00,Series C,10/26/2022 23:20,United States,Unknown,,,,,,,
Vee,Tel Aviv,HR,17,50%,10/25/2022,https://www.calcalistech.com/ctechnews/article/hju1ylrnj,15.00,Seed,10/25/2022 15:16,Israel,Unknown,,,,,,,
Philips,Amsterdam,Healthcare,4000,5%,10/24/2022,https://www.reuters.com/business/philips-cut-4000-jobs-after-medical-equipment-recall-2022-10-24/,,IPO,1/21/2023 0:40,Netherlands,Unknown,,,,,,,
Cerebral,SF Bay Area,Healthcare,400,20%,10/24/2022,https://techcrunch.com/2022/10/24/telehealth-unicorn-cerebral-lays-off-20-of-staff-for-operational-efficiencies/,462.00,Series C,10/24/2022 22:30,United States,Unknown,,,,,,,
Snyk,Boston,Security,198,14%,10/24/2022,https://en.globes.co.il/en/article-cybersecurity-co-snyk-laying-off-14-of-workforce-1001427487,849.00,Series F,10/24/2022 15:31,United States,Unknown,,,,,,,
Unico,Sao Paulo,Other,50,4%,10/24/2022,https://startups.com.br/noticias/unico-demite-na-area-de-vendas-e-reforca-equipe-de-tecnologia/,336.00,Series D,1/18/2023 2:13,Brazil,Unknown,,,,,,,
OrCam,Jerusalem,Healthcare,62,16%,10/23/2022,https://www.calcalistech.com/ctechnews/article/ry5v11kgvo,86.00,Unknown,10/24/2022 2:19,Israel,Unknown,,,,,,,
Antidote Health,Tel Aviv,Healthcare,23,38%,10/23/2022,https://www.calcalistech.com/ctechnews/article/s1xwokmvi,36.00,Unknown,10/24/2022 2:20,Israel,Unknown,,,,,,,
Khoros,Austin,Sales,120,10%,10/21/2022,https://www.bizjournals.com/austin/inno/stories/news/2022/10/21/report-layoffs-at-khoros.html,138.00,Private Equity,10/22/2022 15:59,United States,Unknown,,,,,,,
F5,Seattle,Security,100,1%,10/21/2022,https://www.geekwire.com/2022/f5-cutting-fewer-than-100-jobs-due-to-current-macroeconomic-environment/,,IPO,11/17/2022 4:21,United States,Unknown,,,,,,,
Elinvar,Berlin,Finance,43,33%,10/21/2022,https://financefwd.com/de/elinvar-entlassungen-funding/,30.00,Unknown,10/24/2022 2:23,Germany,Unknown,,,,,,,
Synapsica,New Delhi,Healthcare,30,30%,10/21/2022,https://yourstory.com/2022/10/healthtech-startup-synapsica-layoffs-30-people-workforce/amp,4.00,Series A,10/22/2022 3:29,India,Unknown,,,,,,,
Hotmart,Belo Horizonte,Marketing,227,12%,10/20/2022,https://www.bloomberglinea.com/english/brazils-tcv-backed-hotmart-cuts-12-of-staff-amid-drop-in-operational-efficiency/,127.00,Series C,10/22/2022 3:31,Brazil,Unknown,,,,,,,
Zeus Living,SF Bay Area,Real Estate,64,46%,10/20/2022,https://www.bizjournals.com/sanfrancisco/news/2022/10/20/zeus-living-egomotion-layoffs-flexliving-startup.html,151.00,Series C,10/21/2022 2:23,United States,Unknown,,,,,,,
Loom,SF Bay Area,Product,23,11%,10/20/2022,https://www.sfgate.com/bayarea/article/sf-based-loom-video-tech-unicorn-layoffs-17522993.php,203.00,Series C,10/20/2022 21:56,United States,Unknown,,,,,,,
AtoB,SF Bay Area,Finance,32,30%,10/19/2022,https://www.sfgate.com/bayarea/article/atob-lays-off-30-staff-17518327.php,177.00,Series B,10/19/2022 16:00,United States,Unknown,,,,,,,
InfoSum,London,Security,20,12%,10/19/2022,https://www.businessinsider.com/infosum-lays-off-approximately-20-staff-amid-economic-uncertainty-2022-10,88.00,Series B,11/10/2022 23:11,United Kingdom,Unknown,,,,,,,
Faire,SF Bay Area,Retail,84,7%,10/18/2022,https://www.theinformation.com/briefings/e-commerce-layoff-tally-mounts-with-faire-affirm-cuts,1700.00,Series G,11/4/2022 3:40,United States,Unknown,,,,,,,
Leafly,Seattle,Retail,56,21%,10/18/2022,https://investor.leafly.com/news/news-details/2022/Leafly-Announces-Cost-Reductions-to-Strengthen-Financial-Profile/default.aspx,71.00,IPO,10/19/2022 16:03,United States,Unknown,,,,,,,
Tiendanube,Buenos Aires,Marketing,50,5%,10/17/2022,https://tekiosmag.com/2022/10/17/unicornio-tiendanube-reduce-sus-operaciones-y-despide-al-5-de-su-plantilla/,,Unknown,11/6/2022 18:23,Argentina,Unknown,,,,,,,
Flipboard,SF Bay Area,Media,24,21%,10/16/2022,https://www.axios.com/2022/10/17/flipboard-layoffs-21-percent-staff,235.00,Unknown,10/20/2022 21:10,United States,Unknown,,,,,,,
Clear Capital,Reno,Real Estate,378,27%,10/14/2022,https://techcrunch.com/2022/10/14/clear-capital-lays-off-27-of-its-global-staff/,,Unknown,10/15/2022 19:27,United States,Unknown,,,,,,,
Beyond Meat,Los Angeles,Food,200,19%,10/14/2022,https://www.cnbc.com/2022/10/14/beyond-meat-to-cut-19percent-of-its-workforce-as-sales-stock-struggle.html,122.00,IPO,10/14/2022 15:20,United States,https://docs.google.com/spreadsheets/d/1cfVN7I0kN-ba1l54DU20aigdL0MTewrv28rLnZFAQ6o/edit,,,,,,,
Playdots,New York City,Consumer,65,100%,10/13/2022,https://www.theverge.com/2022/10/13/23403055/take-two-playdots-shut-down-close-two-dots-garden-tails,10.00,Acquired,11/5/2022 3:52,United States,Unknown,,,,,,,
Byju's,Bengaluru,Education,2500,5%,10/12/2022,https://techcrunch.com/2022/10/12/indian-edtech-giant-byjus-cuts-2500-jobs/,5500.00,Private Equity,10/12/2022 19:59,India,Unknown,,,,,,,
6sense,SF Bay Area,Sales,150,10%,10/12/2022,https://www.moneycontrol.com/news/business/startup/ai-platform-6sense-lays-off-150-employees-globally-including-several-from-india-9327791.html,426.00,Series E,10/14/2022 15:21,United States,Unknown,,,,,,,
FrontRow,Bengaluru,Education,130,75%,10/12/2022,https://entrackr.com/2022/10/exclusive-frontrow-lays-off-75-of-workforce/,17.00,Series A,10/13/2022 4:25,India,https://docs.google.com/spreadsheets/d/1bbwtwcD6ftk9ZBZtF-4W4LJ5OU6UH_W1vdkCdPz78hQ/edit#gid=0,,,,,,,
Noom,New York City,Healthcare,500,10%,10/11/2022,https://techcrunch.com/2022/10/11/noom-tech-layoffs-diet-app/,657.00,Series F,10/12/2022 3:36,United States,Unknown,,,,,,,
Brex,SF Bay Area,Finance,136,11%,10/11/2022,https://techcrunch.com/2022/10/11/fintech-brex-layoffs-restructuring/,1500.00,Series D,10/11/2022 18:40,United States,Unknown,,,,,,,
Pacaso,SF Bay Area,Real Estate,100,30%,10/11/2022,https://therealdeal.com/2022/10/13/pacaso-lays-off-100-workers-over-worries-of-a-pending-recession/,217.00,Series C,10/13/2022 4:22,United States,Unknown,,,,,,,
Udacity,SF Bay Area,Education,55,13%,10/11/2022,https://www.udacity.com/blog/2022/10/a-note-from-sebastian.html,235.00,Unknown,10/11/2022 15:14,United States,Unknown,,,,,,,
Linkfire,Copenhagen,Marketing,35,35%,10/11/2022,https://view.news.eu.nasdaq.com/view?id=bc7bad5005a84b17bcf95ce24675c058c&lang=en,2.00,Seed,10/26/2022 15:14,Denmark,Unknown,,,,,,,
Momentive,SF Bay Area,Marketing,180,11%,10/10/2022,https://www.sec.gov/ix?doc=/Archives/edgar/data/1739936/000095017022019536/mntv-20221010.htm,1100.00,IPO,10/13/2022 15:47,United States,https://docs.google.com/spreadsheets/d/1bb8_Y159F9XJVwB7iUOSaMO4tyvVPx7b/edit#gid=978594496,,,,,,,
Pavilion Data,SF Bay Area,Infrastructure,96,96%,10/10/2022,https://blocksandfiles.com/2022/10/10/pavilion-data-crashes-last-nvme-over-fabrics-array-startup-has-died/,103.00,Series D,10/25/2022 15:17,United States,Unknown,,,,,,,
Redesign Health,New York City,Healthcare,67,20%,10/10/2022,https://www.fastcompany.com/90794350/scoop-redesign-health-lays-off-67-employees-a-month-after-raising-65-million,315.00,Series C,10/10/2022 22:51,United States,Unknown,,,,,,,
BioMarin,SF Bay Area,Healthcare,120,4%,10/7/2022,https://www.fiercebiotech.com/biotech/biomarin-lays-120-employees-save-50m-year-us-hit-hardest,585.00,IPO,11/19/2022 23:58,United States,Unknown,,,,,,,
Crypto.com,Singapore,Crypto,2000,30%,10/6/2022,https://www.techinasia.com/cryptocom-lays-2000-employees-dials-marketing-efforts,156.00,Unknown,10/7/2022 23:31,Singapore,Unknown,,,,,,,
Peloton,New York City,Fitness,500,12%,10/6/2022,https://www.wsj.com/articles/peloton-to-cut-another-500-jobs-in-last-bid-for-turnaround-11665011471,1900.00,IPO,10/6/2022 15:44,United States,Unknown,,,,,,,
Turnitin,SF Bay Area,Education,51,5%,10/6/2022,Internal memo,,Acquired,10/8/2022 3:37,United States,Unknown,,,,,,,
Impossible Foods,SF Bay Area,Food,50,6%,10/6/2022,https://www.sfgate.com/local/article/impossible-foods-more-layoffs-17494557.php,1900.00,Series H,10/7/2022 23:27,United States,Unknown,,,,,,,
Built In,Chicago,Recruiting,50,25%,10/5/2022,https://www.chicagobusiness.com/technology/built-lays-quarter-its-staff,29.00,Series C,10/5/2022 15:53,United States,https://docs.google.com/spreadsheets/d/1P2a3aI5xG_qTIrqF5Ci9o_PQsF2r-Sp80tPzE_lt1Wg/edit,,,,,,,
